county,date,labor.force,employed,unemployment,unemployment.rate
Los Angeles County,1993-01-01,4374800,3907300,467500,10.7
Madera County,1993-01-01,45900,37500,8400,18.3
Marin County,1993-01-01,130900,123600,7300,5.6
Mariposa County,1993-01-01,6720,5780,940,14
Mendocino County,1993-01-01,38960,33100,5870,15.1
Merced County,1993-01-01,80600,63400,17200,21.3
Modoc County,1993-01-01,3870,3160,710,18.3
Mono County,1993-01-01,6630,6230,400,6
Monterey County,1993-01-01,175700,140600,35100,20
Napa County,1993-01-01,57600,52500,5100,8.9
Nevada County,1993-01-01,39800,35780,4020,10.1
Orange County,1993-01-01,1317400,1223400,94000,7.1
Placer County,1993-01-01,93600,84900,8700,9.3
Plumas County,1993-01-01,9110,7110,2010,22.1
Riverside County,1993-01-01,579300,508700,70500,12.2
Sacramento County,1993-01-01,528700,481600,47100,8.9
San Benito County,1993-01-01,21100,16400,4700,22.3
San Bernardino County,1993-01-01,675500,605500,70000,10.4
San Diego County,1993-01-01,1217400,1121100,96300,7.9
San Francisco County,1993-01-01,404500,376300,28200,7
San Joaquin County,1993-01-01,236700,198000,38700,16.3
San Luis Obispo County,1993-01-01,96400,87000,9400,9.8
San Mateo County,1993-01-01,368100,348600,19500,5.3
Trinity County,2009-04-01,4920,4080,840,17.1
Santa Barbara County,1993-01-01,191800,174200,17600,9.2
Santa Clara County,1993-01-01,847700,786900,60800,7.2
Santa Cruz County,1993-01-01,135800,116200,19700,14.5
Shasta County,1993-01-01,73600,62000,11600,15.8
Sierra County,1993-01-01,1680,1420,260,15.5
Siskiyou County,1993-01-01,19220,15250,3970,20.7
Solano County,1993-01-01,173000,157600,15400,8.9
Sonoma County,1993-01-01,218700,201500,17200,7.9
Stanislaus County,1993-01-01,188100,153500,34600,18.4
Sutter County,1993-01-01,32500,25300,7200,22.2
Tehama County,1993-01-01,23240,19680,3560,15.3
Trinity County,1993-01-01,5190,4000,1180,22.7
Tulare County,1993-01-01,154600,123600,31000,20.1
Tuolumne County,1993-01-01,20540,17420,3120,15.2
Ventura County,1993-01-01,373700,336300,37500,10
Yolo County,1993-01-01,81300,72800,8500,10.5
