county,date,labor.force,employed,unemployment,unemployment.rate
Mariposa County,2002-02-01,8190,7550,650,7.9
Mendocino County,2002-02-01,43780,40230,3550,8.1
Merced County,2002-02-01,94500,81700,12800,13.5
Modoc County,2002-02-01,3920,3530,390,9.9
Mono County,2002-02-01,8490,8110,380,4.5
Monterey County,2002-02-01,202200,176100,26000,12.9
Napa County,2002-02-01,69700,66600,3100,4.4
Nevada County,2002-02-01,47910,45270,2650,5.5
Orange County,2002-02-01,1527200,1455000,72200,4.7
Placer County,2002-02-01,145400,138300,7100,4.9
Plumas County,2002-02-01,9420,8230,1190,12.6
Riverside County,2002-02-01,739900,694900,44900,6.1
Sacramento County,2002-02-01,637500,602800,34700,5.4
San Benito County,2002-02-01,27400,24700,2800,10.2
San Bernardino County,2002-02-01,780900,735800,45000,5.8
San Diego County,2002-02-01,1442400,1372600,69800,4.8
San Francisco County,2002-02-01,454900,423600,31300,6.9
San Joaquin County,2002-02-01,271600,245000,26600,9.8
San Luis Obispo County,2002-02-01,128800,123200,5600,4.3
San Mateo County,2002-02-01,382700,362000,20700,5.4
Santa Barbara County,2002-02-01,203200,192200,11000,5.4
Santa Clara County,2002-02-01,909900,836900,73100,8
Santa Cruz County,2002-02-01,147900,134500,13400,9.1
Shasta County,2002-02-01,78600,72100,6500,8.3
Sierra County,2002-02-01,1600,1410,190,11.9
Siskiyou County,2002-02-01,18700,16610,2090,11.2
Solano County,2002-02-01,200200,188900,11300,5.6
Sonoma County,2002-02-01,257700,244700,13000,5
Stanislaus County,2002-02-01,215100,191900,23200,10.8
Sutter County,2002-02-01,38700,33600,5100,13.2
Tehama County,2002-02-01,24910,22940,1970,7.9
Trinity County,2002-02-01,5230,4540,690,13.2
Tulare County,2002-02-01,178200,153200,25000,14
Tuolumne County,2002-02-01,24290,22500,1790,7.4
Ventura County,2002-02-01,406500,384800,21700,5.3
Yolo County,2002-02-01,90700,84600,6100,6.7
Yuba County,2002-02-01,24600,21800,2800,11.4
Alameda County,2003-02-01,765900,712500,53400,7
Alpine County,2003-02-01,760,720,40,5.3
Amador County,2003-02-01,16230,15150,1080,6.7
Butte County,2003-02-01,99100,90900,8200,8.3
Calaveras County,2003-02-01,19610,17960,1660,8.5
Colusa County,2003-02-01,9330,7360,1970,21.1
Contra Costa County,2003-02-01,515300,484100,31200,6.1
Del Norte County,2003-02-01,10180,9270,910,8.9
El Dorado County,2003-02-01,87200,82100,5100,5.8
Fresno County,2003-02-01,397000,340500,56500,14.2
Glenn County,2003-02-01,10850,9550,1300,12
Humboldt County,2003-02-01,60200,55600,4600,7.6
Imperial County,2003-02-01,57800,50600,7200,12.5
Inyo County,2003-02-01,8970,8390,580,6.5
Kern County,2003-02-01,304900,269300,35600,11.7
Kings County,2003-02-01,52400,44900,7500,14.3
Lake County,2003-02-01,25840,23290,2550,9.9
Lassen County,2003-02-01,11950,10800,1140,9.5
Los Angeles County,2003-02-01,4756400,4436600,319800,6.7
Madera County,2003-02-01,56600,49700,6900,12.2
Marin County,2003-02-01,133100,126600,6500,4.9
Mariposa County,2003-02-01,7770,7070,700,9
Mendocino County,2003-02-01,45380,41800,3580,7.9
Merced County,2003-02-01,95500,81900,13600,14.2
Modoc County,2003-02-01,4040,3600,440,10.9
Mono County,2003-02-01,8650,8240,420,4.9
Monterey County,2003-02-01,203000,176200,26900,13.3
Napa County,2003-02-01,69600,66100,3500,5
Nevada County,2003-02-01,48270,45450,2820,5.8
Orange County,2003-02-01,1543500,1468400,75100,4.9
Placer County,2003-02-01,152000,144000,7900,5.2
Plumas County,2003-02-01,9940,8520,1420,14.3
Riverside County,2003-02-01,770300,720600,49800,6.5
Sacramento County,2003-02-01,648000,610000,38000,5.9
San Benito County,2003-02-01,26400,23200,3100,11.7
San Bernardino County,2003-02-01,796800,747000,49800,6.2
San Diego County,2003-02-01,1456200,1380400,75800,5.2
San Francisco County,2003-02-01,438200,408000,30300,6.9
San Joaquin County,2003-02-01,274500,246400,28000,10.2
San Luis Obispo County,2003-02-01,128100,122000,6100,4.8
San Mateo County,2003-02-01,373900,352000,21900,5.9
Santa Barbara County,2003-02-01,204800,193400,11400,5.6
Santa Clara County,2003-02-01,858100,782600,75500,8.8
Santa Cruz County,2003-02-01,141600,127300,14300,10.1
Shasta County,2003-02-01,81400,74600,6800,8.4
Sierra County,2003-02-01,1550,1350,200,12.9
Siskiyou County,2003-02-01,19160,16880,2280,11.9
Solano County,2003-02-01,204800,191500,13300,6.5
Sonoma County,2003-02-01,253000,238900,14100,5.6
Stanislaus County,2003-02-01,219400,194900,24500,11.2
Sutter County,2003-02-01,39500,34000,5400,13.7
Tehama County,2003-02-01,25390,23250,2140,8.4
Trinity County,2003-02-01,5320,4570,750,14.1
Tulare County,2003-02-01,178300,152100,26200,14.7
Tuolumne County,2003-02-01,25210,23270,1940,7.7
Ventura County,2003-02-01,410000,386500,23400,5.7
Yolo County,2003-02-01,91800,84900,6900,7.5
Yuba County,2003-02-01,24800,21900,2900,11.7
Alameda County,2004-02-01,745000,697800,47200,6.3
Alpine County,2004-02-01,730,690,50,6.8
Amador County,2004-02-01,16740,15660,1070,6.4
Butte County,2004-02-01,97800,89700,8100,8.3
Calaveras County,2004-02-01,19580,18060,1520,7.8
Colusa County,2004-02-01,9130,7250,1880,20.6
Contra Costa County,2004-02-01,509600,480000,29600,5.8
Del Norte County,2004-02-01,10420,9500,920,8.8
El Dorado County,2004-02-01,88900,83600,5300,6
Fresno County,2004-02-01,398900,348800,50200,12.6
Glenn County,2004-02-01,11050,9750,1310,11.9
Humboldt County,2004-02-01,60600,56200,4400,7.3
Imperial County,2004-02-01,58600,50200,8400,14.3
Inyo County,2004-02-01,8940,8400,540,6
Kern County,2004-02-01,309500,274100,35400,11.4
Kings County,2004-02-01,52800,45800,6900,13.1
Lake County,2004-02-01,25430,22760,2670,10.5
Lassen County,2004-02-01,12030,10880,1150,9.6
Los Angeles County,2004-02-01,4746900,4438600,308400,6.5
Madera County,2004-02-01,60800,54300,6500,10.7
Marin County,2004-02-01,130200,124100,6100,4.7
Mariposa County,2004-02-01,7810,7090,710,9.1
Mendocino County,2004-02-01,43140,39860,3280,7.6
Merced County,2004-02-01,95800,82500,13400,14
Modoc County,2004-02-01,4030,3570,460,11.4
Mono County,2004-02-01,8910,8510,400,4.5
Monterey County,2004-02-01,200900,175800,25200,12.5
Napa County,2004-02-01,69900,66300,3600,5.2
Nevada County,2004-02-01,48310,45440,2880,6
Orange County,2004-02-01,1563700,1493700,70000,4.5
Placer County,2004-02-01,158000,149900,8100,5.1
Plumas County,2004-02-01,9960,8470,1490,15
Riverside County,2004-02-01,806800,757300,49500,6.1
Sacramento County,2004-02-01,657200,618000,39200,6
San Benito County,2004-02-01,25900,22700,3300,12.7
San Bernardino County,2004-02-01,818900,769800,49100,6
San Diego County,2004-02-01,1474300,1402200,72100,4.9
San Francisco County,2004-02-01,421800,396300,25500,6
San Joaquin County,2004-02-01,278200,250300,27900,10
San Luis Obispo County,2004-02-01,129300,123300,6000,4.6
San Mateo County,2004-02-01,364900,345700,19200,5.3
Santa Barbara County,2004-02-01,207900,197000,10900,5.2
Santa Clara County,2004-02-01,827900,768700,59300,7.2
Santa Cruz County,2004-02-01,141000,128000,13000,9.2
Shasta County,2004-02-01,81700,74300,7300,8.9
Sierra County,2004-02-01,1520,1320,200,13.2
Siskiyou County,2004-02-01,19000,16740,2250,11.8
Solano County,2004-02-01,204300,191500,12900,6.3
Sonoma County,2004-02-01,253200,239400,13900,5.5
Stanislaus County,2004-02-01,219000,195400,23600,10.8
Sutter County,2004-02-01,39600,34400,5200,13.1
Tehama County,2004-02-01,25070,22980,2090,8.3
Trinity County,2004-02-01,5200,4480,720,13.8
Tulare County,2004-02-01,179400,154900,24500,13.7
Tuolumne County,2004-02-01,25470,23500,1970,7.7
Ventura County,2004-02-01,412500,389800,22700,5.5
Yolo County,2004-02-01,92600,85800,6800,7.3
Yuba County,2004-02-01,24800,21900,2900,11.7
Alameda County,2005-02-01,736000,694900,41100,5.6
Alpine County,2005-02-01,730,690,40,5.5
Amador County,2005-02-01,17130,16010,1120,6.5
Butte County,2005-02-01,98400,90600,7700,7.8
Calaveras County,2005-02-01,20040,18570,1470,7.3
Colusa County,2005-02-01,9460,7580,1880,19.9
Contra Costa County,2005-02-01,510800,483900,27000,5.3
Del Norte County,2005-02-01,10610,9760,840,7.9
El Dorado County,2005-02-01,90700,85700,5000,5.5
Fresno County,2005-02-01,399500,354600,44900,11.2
Glenn County,2005-02-01,11340,10120,1210,10.7
Humboldt County,2005-02-01,59800,55500,4300,7.2
Imperial County,2005-02-01,59200,50500,8700,14.7
Inyo County,2005-02-01,9220,8710,510,5.5
Kern County,2005-02-01,315700,283100,32600,10.3
Kings County,2005-02-01,53300,46900,6500,12.2
Lake County,2005-02-01,25510,23100,2400,9.4
Lassen County,2005-02-01,12110,10790,1320,10.9
Los Angeles County,2005-02-01,4777700,4490600,287200,6
Madera County,2005-02-01,61000,55100,5800,9.5
Marin County,2005-02-01,129400,123900,5400,4.2
Mariposa County,2005-02-01,7990,7250,750,9.4
Mendocino County,2005-02-01,43260,40210,3050,7.1
Merced County,2005-02-01,97300,84700,12700,13.1
Modoc County,2005-02-01,3850,3410,440,11.4
Mono County,2005-02-01,9140,8740,400,4.4
Monterey County,2005-02-01,198400,175800,22500,11.3
Napa County,2005-02-01,70100,66500,3500,5
Nevada County,2005-02-01,49470,46770,2700,5.5
Orange County,2005-02-01,1581700,1518200,63500,4
Placer County,2005-02-01,163000,155400,7600,4.7
Plumas County,2005-02-01,9620,8290,1320,13.7
Riverside County,2005-02-01,845200,796600,48600,5.8
Sacramento County,2005-02-01,659900,624200,35700,5.4
San Benito County,2005-02-01,25100,22400,2700,10.8
San Bernardino County,2005-02-01,843600,796900,46600,5.5
San Diego County,2005-02-01,1485400,1417500,67900,4.6
San Francisco County,2005-02-01,414800,392300,22500,5.4
San Joaquin County,2005-02-01,280600,254300,26300,9.4
San Luis Obispo County,2005-02-01,130400,124300,6100,4.7
San Mateo County,2005-02-01,361200,344600,16600,4.6
Santa Barbara County,2005-02-01,208400,197600,10800,5.2
Santa Clara County,2005-02-01,815400,767400,48100,5.9
Santa Cruz County,2005-02-01,141900,129700,12100,8.5
Shasta County,2005-02-01,81200,74200,7000,8.6
Sierra County,2005-02-01,1540,1360,190,12.3
Siskiyou County,2005-02-01,18590,16350,2240,12
Solano County,2005-02-01,205400,193200,12200,5.9
Sonoma County,2005-02-01,251400,238900,12500,5
Stanislaus County,2005-02-01,223900,201200,22700,10.1
Sutter County,2005-02-01,39500,34700,4900,12.4
Tehama County,2005-02-01,24860,22820,2030,8.2
Trinity County,2005-02-01,4920,4200,720,14.6
Tulare County,2005-02-01,181600,160200,21400,11.8
Tuolumne County,2005-02-01,25800,23770,2030,7.9
Ventura County,2005-02-01,416000,395200,20700,5
Yolo County,2005-02-01,92800,86200,6600,7.1
Yuba County,2005-02-01,25000,22400,2600,10.4
Alameda County,2006-02-01,729800,695800,34000,4.7
Alpine County,2006-02-01,590,560,30,5.1
Amador County,2006-02-01,17090,16050,1040,6.1
Butte County,2006-02-01,99000,92200,6800,6.9
Calaveras County,2006-02-01,20100,18790,1310,6.5
Colusa County,2006-02-01,9710,8000,1700,17.5
Contra Costa County,2006-02-01,508200,484700,23400,4.6
Del Norte County,2006-02-01,10550,9770,780,7.4
El Dorado County,2006-02-01,91300,86700,4600,5
Fresno County,2006-02-01,401200,362900,38300,9.5
Glenn County,2006-02-01,11440,10390,1050,9.2
Humboldt County,2006-02-01,59500,55800,3700,6.2
Imperial County,2006-02-01,61300,53600,7700,12.6
Inyo County,2006-02-01,8980,8520,460,5.1
Kern County,2006-02-01,328700,299600,29100,8.9
Kings County,2006-02-01,53600,48000,5600,10.4
Lake County,2006-02-01,24300,22200,2090,8.6
Lassen County,2006-02-01,11880,10590,1290,10.9
Los Angeles County,2006-02-01,4827400,4575700,251700,5.2
Madera County,2006-02-01,61300,56400,4900,8
Marin County,2006-02-01,129300,124400,4900,3.8
Mariposa County,2006-02-01,8450,7810,640,7.6
Mendocino County,2006-02-01,42340,39750,2590,6.1
Merced County,2006-02-01,96900,85600,11300,11.7
Modoc County,2006-02-01,3770,3360,410,10.9
Mono County,2006-02-01,8810,8450,360,4.1
Monterey County,2006-02-01,195500,175200,20300,10.4
Napa County,2006-02-01,69600,66600,3000,4.3
Nevada County,2006-02-01,49550,47160,2390,4.8
Orange County,2006-02-01,1589500,1533500,56100,3.5
Placer County,2006-02-01,168100,160700,7400,4.4
Plumas County,2006-02-01,9580,8480,1100,11.5
Riverside County,2006-02-01,874000,830500,43500,5
Sacramento County,2006-02-01,665700,632600,33100,5
San Benito County,2006-02-01,24500,22200,2400,9.8
San Bernardino County,2006-02-01,854600,812400,42100,4.9
San Diego County,2006-02-01,1485500,1424700,60800,4.1
San Francisco County,2006-02-01,412400,393500,18900,4.6
San Joaquin County,2006-02-01,279200,256000,23200,8.3
San Luis Obispo County,2006-02-01,131400,125900,5500,4.2
San Mateo County,2006-02-01,360800,346400,14400,4
Santa Barbara County,2006-02-01,208600,199100,9500,4.6
Santa Clara County,2006-02-01,814400,775200,39100,4.8
Santa Cruz County,2006-02-01,139900,129500,10400,7.4
Shasta County,2006-02-01,81400,75200,6200,7.6
Sierra County,2006-02-01,1490,1330,160,10.7
Siskiyou County,2006-02-01,18320,16370,1950,10.6
Solano County,2006-02-01,206700,195900,10800,5.2
Sonoma County,2006-02-01,250700,239900,10800,4.3
Stanislaus County,2006-02-01,221900,202000,19900,9
Sutter County,2006-02-01,39900,35500,4500,11.3
Tehama County,2006-02-01,24760,22950,1810,7.3
Trinity County,2006-02-01,4960,4280,680,13.7
Tulare County,2006-02-01,182200,163700,18500,10.2
Tuolumne County,2006-02-01,25820,24150,1680,6.5
Ventura County,2006-02-01,416500,398200,18300,4.4
Yolo County,2006-02-01,94000,88100,5900,6.3
Yuba County,2006-02-01,25900,23400,2600,10
Alameda County,2007-02-01,743300,709300,33900,4.6
Alpine County,2007-02-01,630,600,30,4.8
Amador County,2007-02-01,17520,16440,1090,6.2
Butte County,2007-02-01,101700,94500,7100,7
Calaveras County,2007-02-01,20410,18990,1420,7
Colusa County,2007-02-01,9740,7940,1800,18.5
Contra Costa County,2007-02-01,513000,489700,23400,4.6
Del Norte County,2007-02-01,11050,10220,830,7.5
El Dorado County,2007-02-01,90500,85600,4900,5.4
Fresno County,2007-02-01,409800,369700,40100,9.8
Glenn County,2007-02-01,11900,10580,1310,11
Humboldt County,2007-02-01,59400,55600,3800,6.4
Imperial County,2007-02-01,64200,54900,9300,14.5
Inyo County,2007-02-01,8950,8490,470,5.3
Kern County,2007-02-01,338000,307500,30500,9
Kings County,2007-02-01,56000,50000,6000,10.7
Lake County,2007-02-01,23820,21620,2200,9.2
Lassen County,2007-02-01,12230,10940,1290,10.5
Los Angeles County,2007-02-01,4840600,4602300,238300,4.9
Madera County,2007-02-01,62100,56900,5200,8.4
Marin County,2007-02-01,131200,126500,4700,3.6
Mariposa County,2007-02-01,8630,7970,660,7.6
Mendocino County,2007-02-01,42360,39640,2710,6.4
Merced County,2007-02-01,99100,87200,11900,12
Modoc County,2007-02-01,3760,3360,390,10.4
Mono County,2007-02-01,8880,8510,370,4.2
Monterey County,2007-02-01,195300,174500,20800,10.7
Napa County,2007-02-01,71200,68200,3000,4.2
Nevada County,2007-02-01,50230,47730,2500,5
Orange County,2007-02-01,1610500,1552900,57600,3.6
Placer County,2007-02-01,172200,164000,8200,4.8
Plumas County,2007-02-01,9170,8010,1160,12.6
Riverside County,2007-02-01,901400,851300,50000,5.5
Sacramento County,2007-02-01,674500,638300,36200,5.4
San Benito County,2007-02-01,24300,22100,2200,9.1
San Bernardino County,2007-02-01,861900,817400,44400,5.2
San Diego County,2007-02-01,1510800,1445900,64900,4.3
San Francisco County,2007-02-01,430300,412400,17900,4.2
San Joaquin County,2007-02-01,284600,260100,24600,8.6
San Luis Obispo County,2007-02-01,133600,127900,5600,4.2
San Mateo County,2007-02-01,367800,353900,13900,3.8
Santa Barbara County,2007-02-01,210000,200000,10000,4.8
Santa Clara County,2007-02-01,836300,798000,38300,4.6
Santa Cruz County,2007-02-01,143100,132100,11100,7.8
Shasta County,2007-02-01,82100,75300,6800,8.3
Sierra County,2007-02-01,1570,1400,170,10.8
Siskiyou County,2007-02-01,18570,16550,2030,10.9
Solano County,2007-02-01,206300,195600,10800,5.2
Sonoma County,2007-02-01,255200,244100,11100,4.3
Stanislaus County,2007-02-01,225000,203900,21000,9.3
Sutter County,2007-02-01,40900,36400,4600,11.2
Tehama County,2007-02-01,25050,22990,2050,8.2
Trinity County,2007-02-01,5020,4350,660,13.1
Tulare County,2007-02-01,187200,166500,20800,11.1
Tuolumne County,2007-02-01,25930,24150,1780,6.9
Ventura County,2007-02-01,421700,402000,19700,4.7
Yolo County,2007-02-01,98200,91800,6400,6.5
Yuba County,2007-02-01,27200,24400,2800,10.3
Alameda County,2008-02-01,749200,711100,38100,5.1
Alpine County,2008-02-01,620,590,40,6.5
Amador County,2008-02-01,17780,16510,1270,7.1
Butte County,2008-02-01,102300,94100,8200,8
Calaveras County,2008-02-01,20140,18520,1620,8
Colusa County,2008-02-01,9980,8020,1960,19.6
Contra Costa County,2008-02-01,519600,492300,27300,5.3
Del Norte County,2008-02-01,11190,10260,930,8.3
El Dorado County,2008-02-01,90400,84500,5900,6.5
Fresno County,2008-02-01,419200,373400,45800,10.9
Glenn County,2008-02-01,11880,10570,1310,11
Humboldt County,2008-02-01,59500,55300,4200,7.1
Imperial County,2008-02-01,68600,56500,12100,17.6
Inyo County,2008-02-01,8900,8350,560,6.3
Kern County,2008-02-01,346800,311500,35300,10.2
Kings County,2008-02-01,56600,50100,6500,11.5
Lake County,2008-02-01,23900,21490,2410,10.1
Lassen County,2008-02-01,12370,10970,1400,11.3
Los Angeles County,2008-02-01,4892300,4596100,296200,6.1
Madera County,2008-02-01,65000,58900,6200,9.5
Marin County,2008-02-01,130500,125300,5200,4
Mariposa County,2008-02-01,8690,7960,730,8.4
Mendocino County,2008-02-01,42330,39350,2970,7
Merced County,2008-02-01,101500,87500,14100,13.9
Modoc County,2008-02-01,3740,3290,460,12.3
Mono County,2008-02-01,9370,8980,390,4.2
Monterey County,2008-02-01,203300,180200,23100,11.4
Napa County,2008-02-01,73400,70100,3400,4.6
Nevada County,2008-02-01,50410,47400,3010,6
Orange County,2008-02-01,1612500,1542800,69700,4.3
Placer County,2008-02-01,175800,166000,9800,5.6
Plumas County,2008-02-01,9280,7940,1340,14.4
Riverside County,2008-02-01,908500,844000,64600,7.1
Sacramento County,2008-02-01,674600,632200,42500,6.3
San Benito County,2008-02-01,25100,22400,2800,11.2
San Bernardino County,2008-02-01,858800,803000,55800,6.5
San Diego County,2008-02-01,1527600,1450300,77400,5.1
San Francisco County,2008-02-01,450100,430700,19500,4.3
San Joaquin County,2008-02-01,289200,259900,29300,10.1
San Luis Obispo County,2008-02-01,135200,128700,6500,4.8
San Mateo County,2008-02-01,366900,352300,14700,4
Santa Barbara County,2008-02-01,212700,201600,11000,5.2
Santa Clara County,2008-02-01,856200,813600,42600,5
Santa Cruz County,2008-02-01,144400,132300,12000,8.3
Shasta County,2008-02-01,81400,73100,8300,10.2
Sierra County,2008-02-01,1540,1330,210,13.6
Siskiyou County,2008-02-01,18770,16450,2320,12.4
Solano County,2008-02-01,208300,195600,12700,6.1
Sonoma County,2008-02-01,257400,244600,12900,5
Stanislaus County,2008-02-01,227300,202300,25000,11
Sutter County,2008-02-01,41000,35600,5400,13.2
Tehama County,2008-02-01,24950,22660,2290,9.2
Trinity County,2008-02-01,4840,4100,740,15.3
Tulare County,2008-02-01,193600,171400,22200,11.5
Tuolumne County,2008-02-01,25950,23870,2070,8
Ventura County,2008-02-01,424900,401700,23200,5.5
Yolo County,2008-02-01,98700,91300,7400,7.5
Yuba County,2008-02-01,27300,24100,3200,11.7
Alameda County,2009-02-01,763800,692500,71300,9.3
Alpine County,2009-02-01,600,550,60,10
Amador County,2009-02-01,17880,15850,2030,11.4
Butte County,2009-02-01,104300,91500,12800,12.3
Calaveras County,2009-02-01,20270,17550,2720,13.4
Colusa County,2009-02-01,11020,8420,2610,23.7
Contra Costa County,2009-02-01,526600,479300,47400,9
Del Norte County,2009-02-01,11650,10290,1360,11.7
El Dorado County,2009-02-01,92200,82800,9500,10.3
